Start,End,Moon Phase end
2020/1/16,2020/1/26,0.002432469427586
2020/2/14,2020/2/24,0.002376569658518
2020/3/15,2020/3/25,0.002018036097288
2020/4/13,2020/4/24,0.001548770368099
2020/5/13,2020/5/24,0.002785569727421
2020/6/11,2020/6/22,4.76468447595835E+AC0-05
2020/7/11,2020/7/22,0.004032988548279
2020/8/9,2020/8/20,0.00174775660038
2020/9/8,2020/9/18,0.002607351839542
2020/10/8,2020/10/18,0.004809146225452
2020/11/6,2020/11/16,0.0004966468364
2020/12/6,2020/12/15,0.002063547372818
2021/1/4,2021/1/14,0.000891992226243
2021/2/3,2021/2/12,0.004146962463856
2021/3/4,2021/3/14,0.002084245234728
2021/4/3,2021/4/13,0.001319728940725
2021/5/2,2021/5/13,0.001923364400864
2021/5/31,2021/6/11,0.000585546642542
2021/6/30,2021/7/11,0.001120383068919
2021/7/29,2021/8/9,0.002996025979519
2021/8/28,2021/9/8,0.002455870807171
2021/9/27,2021/10/7,0.001848537772894
2021/10/27,2021/11/6,0.00279081851244
2021/11/25,2021/12/5,7.28430738672614E+AC0-05
2021/12/25,2022/1/3,0.003920829594135
2022/1/24,2022/2/2,0.001918408274651
2022/2/22,2022/3/3,0.004322934746742
2022/3/23,2022/4/2,0.000895555615425
2022/4/22,2022/5/2,0.001543054878712
2022/5/21,2022/5/31,0.000806228891015
2022/6/19,2022/6/30,0.001145474463701
2022/7/19,2022/7/30,0.004171646535397
2022/8/17,2022/8/28,0.001886080801487
2022/9/16,2022/9/27,0.002178737074137
2022/10/15,2022/10/26,0.000515698716044
2022/11/14,2022/11/25,0.002232663035393
2022/12/14,2022/12/24,0.001258305162191
2023/1/13,2023/1/23,0.005514642596245
2023/2/12,2023/2/21,0.001593541204929
2023/3/13,2023/3/22,0.00376806139946
2023/4/12,2023/4/21,6.58329483121634E+AC0-05
2023/5/11,2023/5/20,0.002569665014744
2023/6/9,2023/6/19,0.001301732510328
2023/7/8,2023/7/19,0.003877112865448
2023/8/7,2023/8/17,0.00188967704773
2023/9/5,2023/9/16,0.000886019095778
2023/10/4,2023/10/15,0.002438529878855
2023/11/3,2023/11/14,0.000475481562316
2023/12/3,2023/12/14,0.003208817243576
2024/1/2,2024/1/12,0.002310384809971
2024/2/1,2024/2/11,0.003315377831459
2024/3/2,2024/3/11,0.000551322214305
2024/3/31,2024/4/10,0.003751859664917
2024/4/30,2024/5/9,0.000734491273761
2024/5/29,2024/6/7,0.002841027081013
2024/6/27,2024/7/7,0.002656041681767
2024/7/26,2024/8/5,0.002074652910233
2024/8/24,2024/9/4,0.000617857985198
2024/9/23,2024/10/4,0.002308297604322
2024/10/22,2024/11/2,0.001110390648246
2024/11/21,2024/12/2,0.001650778204203
